order_id,customer_id,product_id,order_status,created_at,total_amount,currency_code,_dms_timestamp
O0060,C010,P07,delivered,2026-04-23 16:18:00,77.50,USD,2026-04-23 16:31:00
O0029,C008,P04,delivered,2026-04-26 21:31:00,24.00,USD,2026-04-26 21:59:00
O0020,C009,P07,delivered,2026-04-30 21:27:00,77.50,USD,2026-04-30 21:50:00
O0045,C002,P07,pending,2026-05-01 06:32:00,38.75,USD,2026-05-01 07:01:00
O0025,C008,P08,delivered,2026-05-09 06:01:00,190.00,USD,2026-05-09 06:08:00
O0047,C006,P06,shipped,2026-05-11 04:41:00,119.00,USD,2026-05-11 04:49:00
O0002,C010,P05,confirmed,2026-05-11 17:55:00,135.00,USD,2026-05-11 17:58:00
O0022,C001,P02,delivered,2026-05-12 22:46:00,267.00,USD,2026-05-12 22:54:00
O0026,C007,P07,delivered,2026-05-19 02:18:00,116.25,USD,2026-05-19 02:46:00
O0036,C004,P06,delivered,2026-05-22 16:18:00,357.00,USD,2026-05-22 16:29:00
O0033,C001,P01,pending,2026-05-28 11:13:00,179.70,USD,2026-05-28 11:29:00
O0003,C004,P05,delivered,2026-05-31 08:46:00,45.00,USD,2026-05-31 08:59:00
O0055,C012,P07,delivered,2026-06-03 02:22:00,116.25,USD,2026-06-03 02:36:00
O0057,C007,P04,pending,2026-06-11 13:01:00,72.00,USD,2026-06-11 13:23:00
